Time,lat,long,rssi,Points
25/07/2024 16:35,51.5386142,-0.0100774,-72,140
25/07/2024 16:36,51.5383947,-0.0098803,-103,141
25/07/2024 16:37,51.5383947,-0.0098803,-105,142
25/07/2024 16:38,51.5383947,-0.0098803,-34,143
25/07/2024 16:39,51.5383947,-0.0098803,-101,144
25/07/2024 16:40,51.5383947,-0.0098803,-55,145
25/07/2024 16:41,51.5383947,-0.0098803,-48,146
26/07/2024 10:33,51.5391052,-0.0080511,-84,147
26/07/2024 10:35,51.5398703,-0.0078816,-84,148
26/07/2024 10:37,51.5415273,-0.0071049,-81,149
26/07/2024 10:39,51.5418207,-0.0081249,-90,150
26/07/2024 10:41,51.54329,-0.0086284,-90,151
26/07/2024 10:43,51.5434765,-0.0106501,-104,152
26/07/2024 10:45,51.5440962,-0.0124594,-95,153
26/07/2024 10:47,51.5453013,-0.0124763,-113,154
26/07/2024 10:49,51.5463942,-0.0133106,-104,155
26/07/2024 10:53,51.547486,-0.0143739,-98,156
26/07/2024 10:55,51.5483765,-0.0155466,-100,157
26/07/2024 10:58,51.5507368,-0.0168538,-101,158
26/07/2024 11:07,51.5520128,-0.0173076,-98,159
26/07/2024 11:12,51.5523592,-0.0195193,-98,160
26/07/2024 11:35,51.5590038,-0.0306154,-106,161
26/07/2024 11:44,51.5590835,-0.0311856,-108,162
26/07/2024 11:47,51.560639,-0.0369584,-114,163
26/07/2024 11:49,51.5604652,-0.0370309,-107,164
26/07/2024 11:51,51.5596012,-0.0370634,-103,165
26/07/2024 11:52,51.558659,-0.0363894,-101,166
26/07/2024 13:04,51.5361383,-0.0281381,-97,167
26/07/2024 13:06,51.533259,-0.0081364,-94,168
26/07/2024 13:08,51.536427,-0.0074118,-86,169
26/07/2024 13:10,51.5372947,-0.0090339,-80,170
26/07/2024 13:12,51.538602,-0.0090336,-91,171
26/07/2024 13:14,51.5384673,-0.0101796,-87,172
26/07/2024 13:16,51.5384673,-0.0101796,-36,173
26/07/2024 13:18,51.5384673,-0.0101796,-37,174
26/07/2024 13:20,51.5384673,-0.0101796,-35,175
26/07/2024 13:22,51.5384673,-0.0101796,-35,176
26/07/2024 13:24,51.5384673,-0.0101796,-35,177
26/07/2024 13:26,51.5384673,-0.0101796,-101,178
26/07/2024 13:28,51.5384673,-0.0101796,-33,179
26/07/2024 13:30,51.5384673,-0.0101796,-30,180
26/07/2024 13:32,51.5384673,-0.0101796,-104,181
26/07/2024 13:34,51.5384673,-0.0101796,-98,182
26/07/2024 13:36,51.5384673,-0.0101796,-30,183
26/07/2024 13:38,51.5384673,-0.0101796,-94,184
26/07/2024 13:40,51.5384673,-0.0101796,-103,185
26/07/2024 13:42,51.5384673,-0.0101796,-28,186
26/07/2024 13:44,51.5384673,-0.0101796,-34,187
26/07/2024 13:46,51.5384673,-0.0101796,-97,188
26/07/2024 13:48,51.5384673,-0.0101796,-109,189
26/07/2024 13:50,51.5384673,-0.0101796,-103,190
26/07/2024 13:52,51.5384673,-0.0101796,-97,191
26/07/2024 13:54,51.5384673,-0.0101796,-94,192
26/07/2024 13:56,51.5384673,-0.0101796,-105,193
26/07/2024 13:58,51.5384673,-0.0101796,-103,194
26/07/2024 14:00,51.5384673,-0.0101796,-103,195
26/07/2024 14:02,51.5384673,-0.0101796,-98,196
26/07/2024 14:04,51.5384673,-0.0101796,-104,197
